#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 16:26:48 2016
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
52.795	476	52.820	481
52.846	476	52.870	474
52.896	474	52.922	477
52.947	471	52.972	481
52.997	463	53.023	478
53.049	458	53.073	481
53.099	448	53.124	479
53.150	439	53.175	479
53.200	431	53.226	480
53.251	420	53.276	479
53.302	411	53.327	478
53.353	406	53.377	479
53.403	397	53.429	476
53.454	393	53.479	481
53.504	392	53.530	475
53.556	391	53.580	481
53.606	393	53.631	479
53.657	396	53.681	480
53.707	402	53.733	480
53.758	411	53.784	479
53.808	423	53.834	479
53.860	425	53.885	479
53.910	443	53.935	478
53.961	445	53.987	478
54.011	455	54.037	481
54.062	462	54.088	483
54.113	469	54.138	478
54.164	473	54.189	476
54.214	475	54.240	482
54.265	475	54.291	477
54.315	473	54.341	480
54.367	467	54.392	480
54.417	463	54.442	479
54.468	458	54.494	480
54.518	445	54.544	479
54.569	442	54.595	480
54.619	429	54.645	480
54.671	417	54.696	479
54.721	411	54.746	483
54.772	404	54.798	480
54.822	399	54.848	483
54.873	395	54.899	480
54.924	392	54.949	475
54.975	392	55.000	479
55.025	396	55.051	479
55.076	396	55.102	479
55.126	404	55.152	480
55.178	410	55.203	479
55.228	424	55.253	479
55.279	428	55.305	480
